Distilled Water,Artificial Sea Water,Heavy Water,Wavelength
,,33.3,390
,,33.7,392
,,33.3,394
,,32.5,396
,,31.9,398
5.8,,31.8,400
5.8,,31.7,402
6.2,,31.5,404
5.3,,29.7,406
4.7,,28.9,408
4.7,,28.5,410
5.3,,28.4,412
4.7,,27.8,414
4.5,,27.4,416
4.5,,26.8,418
3.8,,26.3,420
3.6,,26.2,422
4.2,,24.7,424
4.5,,24.3,426
4.1,,23.4,428
4,,23.4,430
3.9,,23.3,432
3.4,,22.3,434
3.6,,21.7,436
3.2,,21.3,438
3.2,,20.8,440
3.5,,20.3,442
3.4,,19.7,444
3.4,,19.1,446
3,,18.7,448
3.3,,18.2,450
,,17.7,452
,,16.5,454
,,15.7,456
,,15.6,458
,,15.6,460
,,14.9,462
,,15,464
,,14.5,466
,,14.4,468
,,14.1,470
,,13.5,472
,,13.3,474
,,13.3,476
,,13.4,478
,,13.1,480
,,12.6,482
,,12.2,484
,,12.2,486
,,11.7,488
,,11.6,490
,,10.9,492
,,10.4,494
,,10.2,496
,,10.2,498
,,10.1,500
,,9.6,502
,,9.6,504
,,8.9,506
,,9.2,508
,,8.9,510
,,8.8,512
,,8.9,514
,,8.7,516
,,8.7,518
,,8.6,520
,,8.3,522
,,7.9,524
,,7.9,526
,,7.4,528
,,7.4,530
,,7.2,532
,,7,534
,,6.9,536
,,6.4,538
,,6.3,540
,,6.3,542
,,6.4,544
,,6.1,546
,,5.9,548
,,5.8,550
,,5.8,552
,,5.8,554
,,5.6,556
,,5.5,558
,,5.3,560
,,5.5,562
,,5.4,564
,,5.3,566
,,5.4,568
,,5.4,570
,,5.2,572
,,5.3,574
,,5.2,576
,,4.8,578
10.9,13.3,4.9,580
10.2,13.1,,581
11.1,14.7,4.8,582
12,14.1,,583
12.2,15.1,4.9,584
11.9,14.6,,585
17.2,16.7,4.4,590
17.6,17.5,,591
13,15.6,4.6,591
18.5,18.1,4.7,592
14.3,15.7,,592
19,18.8,,593
15.2,16.3,4.6,593
20.1,19.8,3.8,594
16,16.3,,594
21.4,20.8,,595
27.2,26.5,4.2,600
28,28.1,,601
22.2,21.7,4.1,601
28.4,28.7,4.3,602
23.5,23.2,,602
28.9,29,,603
24.6,24,4.1,603
29,29,4.1,604
26.1,24.6,,604
29.3,28.9,,605
29.3,29.9,4,610
29.8,30.1,,611
29.5,29.6,4,611
29.6,30,4.3,612
29.4,29.7,,612
29.4,30.2,,613
29.6,29.7,3.7,613
29.8,29.9,3.6,614
29.4,29.7,,614
30,30.1,,615
30.9,31.7,4,620
30.7,31.1,,621
30.3,29.9,3.8,621
30.7,31.5,4.1,622
30,30.8,,622
31,31.5,,623
30.4,30.7,4,623
30.9,31.4,3.8,624
30.6,31,,624
30.5,31.7,,625
32,31.2,3.3,630
32.1,31.8,,631
31.2,31.7,3.8,631
32.1,31.9,3.4,632
31,31.7,,632
32.6,32,,633
31.2,31.2,3.8,633
32.3,32.1,3.4,634
31.3,31.7,,634
32.5,32,,635
33.4,32.6,3.2,640
33.6,32.6,3.1,641
32.6,32.9,3.3,641
33.7,32.9,3.3,642
33.1,32.3,,642
33.7,32.8,3,643
32.6,32.3,3.3,643
33.9,32.9,3.3,644
33.3,32.5,,644
33.9,33.6,3.2,645
35.1,35.7,3.4,650
36,35.7,3.1,651
34.3,33.5,3.2,651
35.9,37,2.7,652
34.4,34.1,3.2,652
36.5,37.3,3,653
34.3,34.2,3.2,653
37.6,38.4,3,654
34.7,35.2,3.2,654
38.7,38.9,3.1,655
40.7,40.5,2.9,660
41,40.6,3.3,661
39.3,39.9,3.2,661
41.1,41.1,3.4,662
39.2,40.7,2.7,662
41.5,41.4,3.3,663
39.5,40.6,3,663
41.7,41.6,3.1,664
40.3,40.3,3,664
41.9,41.9,3.4,665
42.5,42.2,3.5,670
42.5,43.1,3.6,671
41.9,42.4,3.7,671
42.9,43,3.3,672
42,42.1,3.4,672
43.1,43.1,3.4,673
42.2,42.3,3.5,673
42.8,43.1,3.3,674
42.5,42.2,3.4,674
43.8,43.2,3.3,675
44.7,45,3.2,680
45,46,3.3,681
43.9,43.7,3.3,681
45.2,46.6,3.3,682
44,44,3.4,682
45.5,46.8,3.3,683
44.4,44.3,3.5,683
45.8,47.3,3.3,684
44.5,44.9,3.4,684
46.7,47.4,3.5,685
51.1,50.1,3.3,690
51.8,51.2,3.4,691
47.7,47.9,3.5,691
52.9,53.5,3.8,692
48,47.9,3.5,692
54.3,54.2,3.7,693
49.1,48.6,3.5,693
55.5,55.2,4.1,694
50.2,49.4,3.5,694
56.9,57,4.3,695
64.8,64.7,4.5,700
66.5,66.4,4.5,701
58.1,58.5,4.4,701
68.3,68.8,4.6,702
59.6,60.4,4.5,702
70.4,70.7,4.7,703
61.5,61.8,4.3,703
72.7,73.3,4.7,704
63.2,63.3,4.3,704
75,74.5,4.7,705
90.4,90.8,5.1,710
93.8,94.9,5.2,711
77.9,77,4.9,711
97.9,98.1,5.3,712
80.4,80.2,4.9,712
102.6,102.2,5.1,713
83.6,83.9,5.1,713
106.2,105.2,4.9,714
87.1,86.4,5.3,714
111.4,110.7,4.9,715
137.5,137.2,5.4,720
144.7,144.6,5.4,721
116.8,117.3,5.4,721
151.2,150.2,5.4,722
122.1,121.7,5.5,722
159,159.7,5.4,723
127.4,127,5.3,723
167.6,166.4,5.5,724
132.5,133.4,5.4,724
175.6,175.9,6,725
230.9,230.8,5.9,730
239.5,239.8,5.8,731
186.3,186.5,6.1,731
244.7,245.3,6.1,732
197.3,194.6,6,732
249.2,248.3,5.6,733
210.1,210.4,5.7,733
255.3,255.5,5.5,734
221.1,219.1,6,734
260.8,260,5.9,735
269.8,272.9,6.7,740
271.8,271.8,6.3,741
264.3,264.7,5.9,741
270.4,274.2,6.7,742
265.7,266.4,5.9,742
271.1,275.1,6.2,743
268.6,269.3,6.4,743
271.3,275.7,6.5,744
269.7,269.2,6.7,744
271.2,275.3,6.4,745
268.3,269.8,6.9,750
268.7,271,6.9,751
272.3,276.3,6.6,751
268.3,270.5,6.7,752
270,274,6.9,752
267.9,271.8,6.6,753
270.5,273.3,6.9,753
270.9,270.5,6.4,754
270.3,271.2,6.7,754
269.6,271.4,6.3,755
268.5,272.7,6.9,760
268.8,272.4,6.9,761
265.3,271.7,6.8,762
268.5,273.1,6.7,762
269.2,273.3,6.8,763
263.3,270.1,6.8,764
268.8,273.7,6.4,764
261.5,261,6.8,766
252.5,256.7,6.3,768
251.9,254,6.5,770
248.5,250.7,6.6,772
246.8,246.8,6.4,774
240.3,243.8,6.9,776
237.5,241.4,6.4,778
234.6,237.6,6.7,780
217.7,224.3,7.2,782
209.7,216.4,7.5,784
210.2,213.7,7,786
207,210.6,7.2,788
205.2,209.7,7.4,790
